	observed_features
15475.1336	147
15475.37H62V	234
15475.7TABAC	113
15475.4W3V9M	107
15475.1055	115
15475.8Y2HMD	103
15475.3DJ8YN	127
15475.1239	163
15475.1058	121
15475.7ZY46X	114
15475.3JLQJX	149
15475.6CK9C6	123
15475.4WYUCX	93
15475.1069	152
15475.1379	112
15475.1384	110
15475.81H86J	98
15475.60C51U	125
15475.1124	166
15475.6L9EFX	153
15475.57J88V	167
15475.97TDAL	151
15475.4DAHFV	150
15475.65CYWP	141
15475.1257	106
15475.1137	154
15475.66MFKG	126
15475.9DZZ9J	135
15475.77P9FF	129
15475.1381	110
15475.9NCRW9	148
15475.4RBGHG	162
15475.68HYX8	143
15475.5FMLB3	157
15475.9F6AKX	117
15475.7AFUBZ	119
15475.9PQWYA	136
15475.81W13F	148
15475.BLANUH	107
15475.6ADNQL	128
15475.1275	131
15475.18B97R	107
15475.8M4WB4	78
15475.9VJ2QN	122
15475.1382	193
15475.5YACPM	132
15475.7JCXZT	185
15475.A4912R	97
15475.AJDNKK	157
15475.CLYBJJ	91
15475.BXPFR7	188
15475.AKUTSD	128
15475.1299	115
15475.E7MRTL	148
15475.25K84Q	145
15475.FCX4Y6	116
15475.1383	181
15475.CTTRAC	161
15475.EC8QZ3	126
15475.CEHZSX	86
15475.2ZRVGE	100
15475.FHB25V	153
15475.HEDEJN	120
15475.GEJBE6	117
15475.1276	67
15475.CGFW7G	131
15475.DR34F9	171
15475.ATALXL	118
15475.HF55BV	162
15475.GKARQT	94
15475.322GQ2	199
15475.JRSRLN	128
15475.G3DJWW	73
15475.FAYM2P	115
15475.JWAM7Y	164
15475.G3Q5TT	148
15475.KZ8TKN	94
15475.HKS7CJ	186
15475.DY9YWW	92
15475.K7SX6Z	131
15475.GUA5XT	121
15475.HU9Z29	144
15475.G6J8SX	83
15475.B6W2PD	143
15475.L8GEUC	141
15475.AEN7G9	150
15475.HLEQLC	153
15475.P2CUEK	134
15475.BC231R	164
15475.LYJMFB	146
15475.KE72D3	80
15475.H5SUPC	64
15475.PEMLF7	164
15475.MRMXM7	60
15475.LFQU9N	131
15475.J2XEGW	118
15475.HSEEYU	123
15475.PPWXYX	144
15475.J6L2T6	158
15475.QSW92B	119
15475.MRXT9R	106
15475.PYVMCR	116
15475.HAJRGR	199
15475.N76S5Q	94
15475.PSLEMH	149
15475.RVCD2W	112
15475.QUH9ET	80
15475.MXCFCR	126
15475.M4PSSS	116
15475.T97S4A	101
15475.RWVX59	147
15475.TYAPXC	112
15475.PXGKUE	96
15475.PZDFUU	101
15475.JEWFD9	110
15475.MZLDV7	160
15475.M64VGH	206
15475.T9KYVV	180
15475.UK59HD	139
15475.TZSZRN	195
15475.NBGTUN	145
15475.TG66EN	182
15475.M74C82	164
15475.N5ESG9	142
15475.UQAU6T	168
15475.SJ6U9L	120
15475.Q2U4PQ	141
15475.RFVCUP	173
15475.WGYJ69	159
15475.V9MMEP	161
15475.MHWRF7	165
15475.UCLWWC	131
15475.RHYNM2	143
15475.NTF3FX	121
15475.STR7HJ	178
15475.TLDR72	216
15475.UEG4XX	67
15475.VEEJMG	70
15475.WYL49G	142
15475.QBMV62	81
15475.TPWW9M	102
15475.WQSXG5	113
15475.UHURGT	96
15475.VHUCV9	170
15475.WT5CDB	144
15475.Z8M4XC	144
15475.NTWTD9	114
15475.YCHFEY	116
15475.ZAAHY6	118
15475.XA2C8W	152
15475.YF2FDB	116
15475.ZRZESC	114
15475.XJ7EHM	174
15475.NUQFF8	126
15475.XPPMT4	138
15475.YQAXXH	114
15475.Y7UPJ8	104
15475.YSCDEB	144
15475.YTVMMM	175
